Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels","Solar (TWh, substituted energy)","Coal (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Wind (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,97,0,0,0,0,0,5556
World,OWID_WRL,1810,0,0,0,128,0,0,0,0,0,5833
World,OWID_WRL,1820,0,0,0,153,0,0,0,0,0,6111
World,OWID_WRL,1830,0,0,0,264,0,0,0,0,0,6389
World,OWID_WRL,1840,0,0,0,356,0,0,0,0,0,6944
World,OWID_WRL,1850,0,0,0,569,0,0,0,0,0,7222
World,OWID_WRL,1860,0,0,0,1061,0,0,0,0,0,6944
World,OWID_WRL,1870,0,0,0,1642,0,6,0,0,0,6944
World,OWID_WRL,1880,0,0,0,2542,0,33,0,0,0,6944
World,OWID_WRL,1890,0,0,0,3856,33,89,0,0,38.88889,6667
World,OWID_WRL,1900,0,0,0,5728,64,181,0,0,47.22222,6111
World,OWID_WRL,1910,0,0,0,8656,142,397,0,0,91.666664,6389
World,OWID_WRL,1920,0,0,0,9833,233,889,0,0,177.77777,6944
World,OWID_WRL,1930,0,0,0,10125,603,1756,0,0,363.8889,7222
World,OWID_WRL,1940,0,0,0,11586,875,2653,0,0,533.3333,7222
World,OWID_WRL,1950,0,0,0,12603,2092,5444,0,0,925,7500
World,OWID_WRL,1960,0,0,0,15442,4472,11097,0,0,1913.8889,8889
World,OWID_WRL,1965,55.949085,9.029861,0,16140.179,6303.799,17989.604,0,72.469345,2729.8865,9162
World,OWID_WRL,1966,61.737606,9.209844,0,16324.094,6868.7944,19341.146,0,97.70497,2909.136,9218
World,OWID_WRL,1967,62.353374,9.383716,0,16060.81,7374.0396,20732.137,0,116.35518,2973.9692,9274
World,OWID_WRL,1968,69.03191,9.5538,0,16301.146,8044.3315,22488.332,0,147.87189,3132.3052,9331
World,OWID_WRL,1969,72.558716,9.723981,0,16798.736,8833.418,24353,0,175.31134,3316.9805,9387
World,OWID_WRL,1970,80.337944,11.0390625,0,17058.607,9614.792,26505.184,0,223.80801,3473.4265,9444
World,OWID_WRL,1971,87.339066,11.649558,0,16965.777,10293.2,27994.797,0,311.28723,3628.942,9499
World,OWID_WRL,1972,93.40202,12.946933,0,17158.637,10861.724,30112.264,0,431.79926,3798.634,9553
World,OWID_WRL,1973,100.24631,12.586639,0,17667.85,11377.838,32534.807,0,578.5737,3852.995,9608
World,OWID_WRL,1974,106.87296,12.167814,0,17682.05,11659.865,32078.18,0,756.48175,4232.1367,9663
World,OWID_WRL,1975,108.1472,11.48028,0,18024.537,11659.741,31715.77,0,1049.4497,4284.3325,9718
World,OWID_WRL,1976,120.57106,11.869931,0,18688.484,12354.144,33752.465,0,1227.7115,4267.3394,9774
World,OWID_WRL,1977,127.26663,15.856679,0,19241.3,12759.843,34928.137,0,1528.1375,4410.859,9830
